Item,Name,Type,SKU,Price,Weight,Category,Is Visible,Description,Image URL (Import),Image is Thumbnail,Image Sort Order
Product,T15舷外机,physical,T15舷外机,0.00,15,Outboard Motors; 2-Stroke,True,"<h2>T15舷外机 Specifications</h2><table cellpadding=""0"" cellspacing=""0"" width=""465""><colgroup><col style="";width:131px"" width=""130""/><col style="";width:335px"" width=""334""/></colgroup><tbody><tr height=""19"" style=""height:19px""><td height=""19"" style="""" width=""131"">型号</td><td style=""border-left: none;"" width=""335"">T15</td></tr><tr height=""19"" style=""height:19px""><td height=""19"" style=""border-top: none;"" width=""131"">产品规格选项</td><td>T15BMS/T15BML</td></tr><tr height=""19"" style=""height:19px""><td height=""19"" style=""border-top: none;"" width=""131"">艉板高度</td><td style=""border-left: none;"" width=""335"">15/20英寸</td></tr><tr height=""19"" style=""height:19px""><td height=""19"" style=""border-top: none;"" width=""131"">重量</td><td>36-37Kg</td></tr><tr height=""19"" style=""height:19px""><td height=""19"" style=""border-top: none;"" width=""131"">最大转速</td><td style=""border-left: none;"" width=""335"">4500～5500r/min</td></tr><tr height=""19"" style=""height:19px""><td height=""19"" style=""border-top: none;"" width=""131"">最大推杆功率</td><td style=""border-top: none; border-left: none;"" width=""335"">11kW（15HP）@5000r/min</td></tr><tr height=""19"" style=""height:19px""><td height=""19"" style=""border-top: none;"" width=""131"">怠速</td><td style=""border-top: none; border-left: none;"" width=""335"">950～1050   r/min</td></tr><tr height=""19"" style=""height:19px""><td height=""19"" style=""border-top: none;"" width=""131"">发动机类型</td><td style=""border-top: none; border-left: none;"" width=""335"">L   2  Reed Valve</td></tr><tr height=""19"" style=""height:19px""><td height=""19"" style=""border-top: none;"" width=""131"">排量</td><td>246cc</td></tr><tr height=""19"" style=""height:19px""><td height=""19"" style=""border-top: none;"" width=""131"">缸径*冲程</td><td style=""border-left: none;"" width=""335"">56×50 mm</td></tr><tr height=""19"" style=""height:19px""><td height=""19"" style=""border-top: none;"" width=""131"">燃油进气系统</td><td style=""border-top: none; border-left: none;"" width=""335"">化油器</td></tr><tr height=""19"" style=""height:19px""><td height=""19"" style=""border-top: none;"" width=""131"">点火系统</td><td style=""border-top: none; border-left: none;"" width=""335"">CDI</td></tr><tr height=""19"" style=""height:19px""><td height=""19"" style=""border-top: none;"" width=""131""><span style="""">控制系统</span></td><td style=""border-top: none; border-left: none;"" width=""335"">舵柄</td></tr><tr height=""19"" style=""height:19px""><td height=""19"" style=""border-top: none;"" width=""131"">启动系统</td><td style=""border-top: none; border-left: none;"" width=""335"">手动启动</td></tr><tr height=""19"" style=""height:19px""><td height=""19"" style=""border-top: none;"" width=""131"">档位</td><td style=""border-top: none; border-left: none;"" width=""335"">F-N-R</td></tr><tr height=""19"" style=""height:19px""><td height=""19"" style=""border-top: none;"" width=""131"">齿轮比</td><td style=""border-top: none; border-left: none;"" width=""335"">2.08</td></tr><tr height=""19"" style=""height:19px""><td height=""19"" style=""border-top: none;"" width=""131"">最大油耗</td><td style=""border-top: none; border-left: none;"" width=""335"">7.9L/h</td></tr><tr height=""19"" style=""height:19px""><td height=""19"" style=""""><span style="""">倾斜起翘系统</span></td><td style=""border-top: none;"" width=""335"">手动</td></tr><tr height=""19"" style=""height:19px""><td height=""19"" style="""" width=""131"">混合比（燃油：机油）</td><td style=""border-top: none; border-left: none;"" width=""335"">50:01:00</td></tr><tr height=""19"" style=""height:19px""><td height=""19"" style=""border-top: none;"" width=""131"">齿轮油容量</td><td style=""border-top: none; border-left: none;"" width=""335"">250cc</td></tr><tr height=""19"" style=""height:19px""><td height=""19"" style=""border-top: none;"" width=""131"">螺旋桨规格</td><td style=""border-top: none; border-left: none;"" width=""335"">3-8""/10""/11""/12""</td></tr><tr height=""52"" style="";height:52px""><td colspan=""2"" height=""52"" style=""border-right-width: 1px;"" width=""465""><span style="""">规格说明：</span><span style=""""><br/>     B=</span><span style="""">后退控制（舵柄）</span><span style=""""> F=</span><span style="""">前进（遥控）控制（转向）</span><span style=""""> M=</span><span style="""">手动启动</span><span style=""""> W=</span><span style="""">手动启动或电启动</span><span style=""""> S=</span><span style="""">短轴</span><span style=""""> L=</span><span style="""">长轴</span></td></tr></tbody></table>",,,
Image,,,,,,,,,https://www.parsunpower.cn/data/watermark/20240313/65f104ff42ed4.jpg,True,0
Image,,,,,,,,,https://www.parsunpower.cn/data/watermark/20240313/65f10525acea1.jpg,False,1
Image,,,,,,,,,https://www.parsunpower.cn/data/watermark/20240313/65f1052639fd4.jpg,False,2
Image,,,,,,,,,https://www.parsunpower.cn/data/watermark/20221017/634cd19ceca79.jpg,False,3
Image,,,,,,,,,https://www.parsunpower.cn/data/watermark/20240709/668c806721d49.jpg,False,4
Product,T90舷外机,physical,T90舷外机,0.00,15,Outboard Motors; 2-Stroke,True,"<h2>T90舷外机 Specifications</h2><table cellpadding=""0"" cellspacing=""0"" width=""465""><colgroup><col style="";width:131px"" width=""130""/><col style="";width:335px"" width=""334""/></colgroup><tbody><tr height=""19"" style=""height:19px""><td height=""19"" style="""" width=""104.33333333333333"">型号</td><td style=""border-left: none;"" width=""335"">T90</td></tr><tr height=""19"" style=""height:19px""><td height=""19"" style=""border-top: none;"" width=""104.33333333333333"">产品规格选项</td><td>T90BML-D/T90BMX-D/T90BEL-D/T90BEX-D/T90FEL-T/T90FEX-T</td></tr><tr height=""19"" style=""height:19px""><td height=""19"" style=""border-top: none;"" width=""104.33333333333333"">艉板高度</td><td style=""border-left: none;"" width=""335"">20/25in.</td></tr><tr height=""19"" style=""height:19px""><td height=""19"" style=""border-top: none;"" width=""104.33333333333333"">重量</td><td>115-122kg</td></tr><tr height=""19"" style=""height:19px""><td height=""19"" style=""border-top: none;"" width=""104.33333333333333"">最大转速</td><td style=""border-left: none;"" width=""335"">4500～5500r/min</td></tr><tr height=""19"" style=""height:19px""><td height=""19"" style=""border-top: none;"" width=""104.33333333333333"">最大推杆功率</td><td style=""border-top: none; border-left: none;"" width=""335"">90HP(66.2KW)</td></tr><tr height=""19"" style=""height:19px""><td height=""19"" style=""border-top: none;"" width=""104.33333333333333"">怠速</td><td style=""border-top: none; border-left: none;"" width=""335"">750～850r/min</td></tr><tr height=""19"" style=""height:19px""><td height=""19"" style=""border-top: none;"" width=""104.33333333333333"">发动机类型</td><td style=""border-top: none; border-left: none;"" width=""335"">L3  Reed Valve</td></tr><tr height=""19"" style=""height:19px""><td height=""19"" style=""border-top: none;"" width=""104.33333333333333"">排量</td><td>1141cc</td></tr><tr height=""19"" style=""height:19px""><td height=""19"" style=""border-top: none;"" width=""104.33333333333333"">缸径*冲程</td><td style=""border-left: none;"" width=""335"">82.0×72.0mm</td></tr><tr height=""19"" style=""height:19px""><td height=""19"" style=""border-top: none;"" width=""104.33333333333333"">燃油进气系统</td><td style=""border-top: none; border-left: none;"" width=""335"">化油器</td></tr><tr height=""19"" style=""height:19px""><td height=""19"" style=""border-top: none;"" width=""104.33333333333333"">点火系统</td><td style=""border-top: none; border-left: none;"" width=""335"">CDI</td></tr><tr height=""19"" style=""height:19px""><td height=""19"" style=""border-top: none;"" width=""104.33333333333333""><span style="""">控制系统</span></td><td style=""border-top: none; border-left: none;"" width=""335"">舵柄/遥控器</td></tr><tr height=""19"" style=""height:19px""><td height=""19"" style=""border-top: none;"" width=""104.33333333333333"">启动系统</td><td style=""border-top: none; border-left: none;"" width=""335"">手动启动/电启动</td></tr><tr height=""19"" style=""height:19px""><td height=""19"" style=""border-top: none;"" width=""104.33333333333333"">档位</td><td style=""border-top: none; border-left: none;"" width=""335"">F-N-R</td></tr><tr height=""19"" style=""height:19px""><td height=""19"" style=""border-top: none;"" width=""104.33333333333333"">齿轮比</td><td style=""border-top: none; border-left: none;"" width=""335"">2</td></tr><tr height=""19"" style=""height:19px""><td height=""19"" style=""border-top: none;"" width=""104.33333333333333"">最大油耗</td><td style=""border-top: none; border-left: none;"" width=""335"">37L/h</td></tr><tr height=""19"" style=""height:19px""><td height=""19"" style="""" width=""104.33333333333333""><span style="""">倾斜起翘系统</span></td><td style=""border-top: none;"" width=""335"">手动/电启动</td></tr><tr height=""19"" style=""height:19px""><td height=""19"" style="""" width=""104.33333333333333"">混合比（燃油：机油）</td><td style=""border-top: none; border-left: none;"" width=""335"">50：1</td></tr><tr height=""19"" style=""height:19px""><td height=""19"" style=""border-top: none;"" width=""104.33333333333333"">齿轮油容量</td><td style=""border-top: none; border-left: none;"" width=""335"">610cc</td></tr><tr height=""19"" style=""height:19px""><td height=""19"" style=""border-top: none;"" width=""104.33333333333333"">螺旋桨规格</td><td style=""border-top: none; border-left: none;"" width=""335"">3-13""   / 15"" / 17""</td></tr><tr height=""52"" style="";height:52px""><td colspan=""2"" height=""52"" style=""border-right-width: 1px;"" width=""443.3333333333333""><span style="""">规格说明：</span><span style=""""><br/>     B=</span><span style="""">后退控制（舵柄）</span><span style=""""> F=</span><span style="""">前进（遥控）控制（转向）</span><span style=""""> M=</span><span style="""">手动启动</span><span style=""""> W=</span><span style="""">手动启动或电启动</span><span style=""""> S=</span><span style="""">短轴</span><span style=""""> L=</span><span style="""">长轴</span></td></tr></tbody></table>",,,
Image,,,,,,,,,https://www.parsunpower.cn/data/watermark/20221125/6380b90b75e50.jpg,True,0
Image,,,,,,,,,https://www.parsunpower.cn/data/watermark/20221125/6380b90d13a5d.jpg,False,1
Image,,,,,,,,,https://www.parsunpower.cn/data/watermark/20221125/6380b9116b4d5.jpg,False,2
