Item,Name,Type,SKU,Price,Weight,Category,Is Visible,Description,Image URL (Import),Image is Thumbnail,Image Sort Order
Product,Parsun Outboard Motor,physical,Parsun,0.00,15,Outboard Motors; E-Stroke,True,"<h2>Parsun Outboard Motor Specifications</h2><table cellpadding=""0"" cellspacing=""0"" style=""text-align:center"" width=""70%""><tbody><tr style="";height:25px""><td height=""25"" style=""border-width: 1px 1px 4px; border-style: solid; border-color: white; border-image: initial; background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial; padding: 5px 10px;"" valign=""middle"" width=""110""><p><strong>功率（瓦特）</strong></p></td><td height=""25"" style=""border-top: 1px solid white; border-left: none; border-bottom: 4px solid white; border-right: 1px solid white; background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial; padding: 5px 10px;"" valign=""top"" width=""154""><p><strong>速度mph / kph)</strong></p></td><td height=""25"" style=""border-top: 1px solid white; border-left: none; border-bottom: 4px solid white; border-right: 1px solid white; background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial; padding: 0px;"" valign=""top"" width=""164""><p><strong>续航时间(hh:mm)</strong></p></td><td height=""25"" style=""border-top: 1px solid white; border-left: none; border-bottom: 4px solid white; border-right: 1px solid white; background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial; padding: 0px;"" valign=""top"" width=""125""><p><strong>范围(mile/km)</strong></p></td></tr><tr style="";height:25px""><td height=""25"" style=""border-right: 1px solid white; border-bottom: 1px solid white; border-left: 1px solid white; border-image: initial; border-top: none; background: rgb(206, 206, 206); padding: 5px 10px;"" valign=""top"" width=""110""><p>1000</p></td><td height=""25"" style=""border-top: none; border-left: none; border-bottom: 1px solid white; border-right: 1px solid white; background: rgb(206, 206, 206); padding: 5px 10px;"" valign=""top"" width=""154""><p>4.9  / 7.9</p></td><td height=""25"" style=""border-top: none; border-left: none; border-bottom: 1px solid white; border-right: 1px solid white; background: rgb(206, 206, 206); padding: 0px;"" valign=""top"" width=""164""><p>8:57</p></td><td height=""25"" style=""border-top: none; border-left: none; border-bottom: 1px solid white; border-right: 1px solid white; background: rgb(206, 206, 206); padding: 0px;"" valign=""top"" width=""125""><p>44.0  / 70.8</p></td></tr><tr style="";height:25px""><td height=""25"" style=""border-right: 1px solid white; border-bottom: 1px solid white; border-left: 1px solid white; border-image: initial; border-top: none; background: rgb(232, 232, 232); padding: 5px 10px;"" valign=""top"" width=""110""><p>2000</p></td><td height=""25"" style=""border-top: none; border-left: none; border-bottom: 1px solid white; border-right: 1px solid white; background: rgb(232, 232, 232); padding: 5px 10px;"" valign=""top"" width=""154""><p>5.3  / 8.5</p></td><td height=""25"" style=""border-top: none; border-left: none; border-bottom: 1px solid white; border-right: 1px solid white; background: rgb(232, 232, 232); padding: 0px;"" valign=""top"" width=""164""><p>4:42</p></td><td height=""25"" style=""border-top: none; border-left: none; border-bottom: 1px solid white; border-right: 1px solid white; background: rgb(232, 232, 232); padding: 0px;"" valign=""top"" width=""125""><p>24.7  / 39.7</p></td></tr><tr style="";height:25px""><td height=""25"" style=""border-right: 1px solid white; border-bottom: 1px solid white; border-left: 1px solid white; border-image: initial; border-top: none; background: rgb(206, 206, 206); padding: 5px 10px;"" valign=""top"" width=""110""><p>3000</p></td><td height=""25"" style=""border-top: none; border-left: none; border-bottom: 1px solid white; border-right: 1px solid white; background: rgb(206, 206, 206); padding: 5px 10px;"" valign=""top"" width=""154""><p>5.5  / 8.8</p></td><td height=""25"" style=""border-top: none; border-left: none; border-bottom: 1px solid white; border-right: 1px solid white; background: rgb(206, 206, 206); padding: 0px;"" valign=""top"" width=""164""><p>3:17</p></td><td height=""25"" style=""border-top: none; border-left: none; border-bottom: 1px solid white; border-right: 1px solid white; background: rgb(206, 206, 206); padding: 0px;"" valign=""top"" width=""125""><p>17.7  / 28.5</p></td></tr><tr style="";height:25px""><td height=""25"" style=""border-right: 1px solid white; border-bottom: 1px solid white; border-left: 1px solid white; border-image: initial; border-top: none; background: rgb(232, 232, 232); padding: 5px 10px;"" valign=""top"" width=""110""><p>4000</p></td><td height=""25"" style=""border-top: none; border-left: none; border-bottom: 1px solid white; border-right: 1px solid white; background: rgb(232, 232, 232); padding: 5px 10px;"" valign=""top"" width=""154""><p>6.6  / 10.6</p></td><td height=""25"" style=""border-top: none; border-left: none; border-bottom: 1px solid white; border-right: 1px solid white; background: rgb(232, 232, 232); padding: 0px;"" valign=""top"" width=""164""><p>2:45</p></td><td height=""25"" style=""border-top: none; border-left: none; border-bottom: 1px solid white; border-right: 1px solid white; background: rgb(232, 232, 232); padding: 0px;"" valign=""top"" width=""125""><p>15.4  / 24.8</p></td></tr><tr style="";height:25px""><td height=""25"" style=""border-right: 1px solid white; border-bottom: 1px solid white; border-left: 1px solid white; border-image: initial; border-top: none; background: rgb(206, 206, 206); padding: 5px 10px;"" valign=""top"" width=""110""><p>5000</p></td><td height=""25"" style=""border-top: none; border-left: none; border-bottom: 1px solid white; border-right: 1px solid white; background: rgb(206, 206, 206); padding: 5px 10px;"" valign=""top"" width=""154""><p>7.5  / 12.0</p></td><td height=""25"" style=""border-top: none; border-left: none; border-bottom: 1px solid white; border-right: 1px solid white; background: rgb(206, 206, 206); padding: 0px;"" valign=""top"" width=""164""><p>2:26</p></td><td height=""25"" style=""border-top: none; border-left: none; border-bottom: 1px solid white; border-right: 1px solid white; background: rgb(206, 206, 206); padding: 0px;"" valign=""top"" width=""125""><p>15.7   / 25.2</p></td></tr><tr style="";height:25px""><td height=""25"" style=""border-right: 1px solid white; border-bottom: 1px solid white; border-left: 1px solid white; border-image: initial; border-top: none; background: rgb(232, 232, 232); padding: 5px 10px;"" valign=""top"" width=""110""><p>6000</p></td><td height=""25"" style=""border-top: none; border-left: none; border-bottom: 1px solid white; border-right: 1px solid white; background: rgb(232, 232, 232); padding: 5px 10px;"" valign=""top"" width=""154""><p>8.0  / 13.0</p></td><td height=""25"" style=""border-top: none; border-left: none; border-bottom: 1px solid white; border-right: 1px solid white; background: rgb(232, 232, 232); padding: 0px;"" valign=""top"" width=""164""><p>2:14</p></td><td height=""25"" style=""border-top: none; border-left: none; border-bottom: 1px solid white; border-right: 1px solid white; background: rgb(232, 232, 232); padding: 0px;"" valign=""top"" width=""125""><p>14.7   / 23.7</p></td></tr></tbody></table>",,,
Image,,,,,,,,,https://www.parsunpower.cn/data/watermark/20231222/65853775ad4b8.png,True,0
Image,,,,,,,,,https://www.parsunpower.cn/data/watermark/20231123/655eed7fdfe7a.jpg,False,1
Image,,,,,,,,,https://www.parsunpower.cn/data/watermark/20231222/65853d55b0dfb.jpg,False,2
Image,,,,,,,,,https://www.parsunpower.cn/data/watermark/20231222/65853d756258e.jpg,False,3
Image,,,,,,,,,https://www.parsunpower.cn/data/watermark/20231222/65853d9ab8730.jpg,False,4
Product,Parsun Outboard Motor,physical,Parsun,0.00,15,Outboard Motors; E-Stroke,True,"<h2>Parsun Outboard Motor Specifications</h2><table cellspacing=""0""><tbody><tr><td align=""center"" style=""word-break: break-all;"">动力(瓦)</td><td align=""center"" style=""word-break: break-all;"">速度 (mph/kph)</td><td align=""center"" style=""word-break: break-all;"">续航时长 (hh:mm)</td><td align=""center"" style=""word-break: break-all;"">范围(mile/km)</td></tr><tr><td align=""center"">600W</td><td align=""center"" style=""word-break: break-all;"">4.3 / 6.9</td><td align=""center"" style=""word-break: break-all;"">2:24</td><td align=""center"" style=""word-break: break-all;"">10.3 / 16.6</td></tr><tr><td align=""center"">800w</td><td align=""center"" style=""word-break: break-all;"">4.8 / 7.7</td><td align=""center"" style=""word-break: break-all;"">1:48</td><td align=""center"" style=""word-break: break-all;"">8.6 / 13.9</td></tr><tr><td align=""center"">1000w</td><td align=""center"" style=""word-break: break-all;"">5.2 / 8.3</td><td align=""center"" style=""word-break: break-all;"">1:26</td><td align=""center"" style=""word-break: break-all;"">7.5 / 12</td></tr><tr><td align=""center"">1200w</td><td align=""center"" style=""word-break: break-all;"">5.4 / 8.7</td><td align=""center"" style=""word-break: break-all;"">1:12</td><td align=""center"" style=""word-break: break-all;"">6.5 / 10.4</td></tr></tbody></table>",,,
Image,,,,,,,,,https://www.parsunpower.cn/data/watermark/20221120/6379fa076fbc8.jpg,True,0
Image,,,,,,,,,https://www.parsunpower.cn/data/watermark/20221027/635a4fdf12eb2.jpg,False,1
Image,,,,,,,,,https://www.parsunpower.cn/data/watermark/20221120/6379fc2540fe4.jpg,False,2
